ratio,ML_min,OSRM_min,km,od_pair,hist_spd,hour,src_lat,src_lng,dst_lat,dst_lng,new_XGB_min,new_RF_min,new_hist_level,new_ratio_XGB,change_XGB_min,change_XGB_pct,still_divergent_XGB,new_ratio_RF,change_RF_min,change_RF_pct,still_divergent_RF
13.9,39.5,2.8,1.39,2_7,3.8,22:00,23.70023,90.41832,23.71078,90.41781,16.2,14.8,od_pair_only,5.79,-23.3,-59.0,True,5.29,-24.7,-62.5,True
10.9,60.6,5.5,4.48,7_3,6.1,05:00,23.71078,90.41781,23.69989,90.45413,23.0,8.8,od_pair_only,4.18,-37.6,-62.0,True,1.6,-51.8,-85.5,False
9.3,14.8,1.6,0.77,7_8,12.5,05:00,23.81496,90.43584,23.81862,90.43961,4.6,3.9,od_pair+period,2.87,-10.2,-68.9,True,2.44,-10.9,-73.6,True
9.2,18.0,2.0,0.86,12_7,8.4,07:00,23.87263,90.39833,23.86806,90.40014,5.8,6.0,od_pair+period,2.9,-12.2,-67.8,True,3.0,-12.0,-66.7,True
9.2,28.2,3.1,1.32,7_2,8.5,22:00,23.70781,90.42369,23.70023,90.41832,11.2,17.1,od_pair_only,3.61,-17.0,-60.3,True,5.52,-11.1,-39.4,True
9.0,59.9,6.6,4.69,12_7,8.4,06:15,23.87653,90.40144,23.86007,90.41888,15.9,8.8,od_pair_only,2.41,-44.0,-73.5,True,1.33,-51.1,-85.3,False
8.7,82.8,9.5,7.56,12_12,12.0,06:00,23.86935,90.38296,23.90994,90.38837,20.0,16.8,od_pair_only,2.11,-62.8,-75.8,True,1.77,-66.0,-79.7,False
8.7,28.9,3.3,2.06,6_7,15.0,22:00,23.79075,90.34871,23.77867,90.35611,18.1,14.0,od_pair+period,5.48,-10.8,-37.4,True,4.24,-14.9,-51.6,True
8.5,40.4,4.8,2.86,3_3,12.9,22:00,23.6847,90.4466,23.69989,90.45413,13.7,10.8,od_pair_only,2.85,-26.7,-66.1,True,2.25,-29.6,-73.3,True
8.5,23.9,2.8,1.22,3_3,12.9,22:00,23.69109,90.44374,23.6847,90.4466,14.9,18.1,od_pair_only,5.32,-9.0,-37.7,True,6.46,-5.8,-24.3,True
